,Road_1st,Road_2nd,Road_3rd,Road_4th,Road_5th,Road_6th,Road_7th,Road_8th,Road_9th,Home_1st,Home_2nd,Home_3rd,Home_4th,Home_5th,Home_6th,Home_7th,Home_8th,Home_9th,OT_number,Game_Date,Game_Start,Game_Visitor,Game_Visitor_Points,Game_Home,Game_Home_Points,Game_OT,Season,Road_Minutes_Played,Road_Field_Goals,Road_Field_Goal_Attempts,Road_Field_Goal_Percentage,Road_t3_Point_Field_Goals,Road_t3_Point_Field_Goal_Attempts,Road_t3_Point_Field_Goal_Percentage,Road_Free_Throws,Road_Free_Throw_Attempts,Road_Free_Throw_Percentage,Road_Offensive_Rebounds,Road_Defensive_Rebounds,Road_Total_Rebounds,Road_Assists,Road_Steals,Road_Blocks,Road_Turnovers,Road_Personal_Fouls,Road_Points,Home_Minutes_Played,Home_Field_Goals,Home_Field_Goal_Attempts,Home_Field_Goal_Percentage,Home_t3_Point_Field_Goals,Home_t3_Point_Field_Goal_Attempts,Home_t3_Point_Field_Goal_Percentage,Home_Free_Throws,Home_Free_Throw_Attempts,Home_Free_Throw_Percentage,Home_Offensive_Rebounds,Home_Defensive_Rebounds,Home_Total_Rebounds,Home_Assists,Home_Steals,Home_Blocks,Home_Turnovers,Home_Personal_Fouls,Home_Points,Road_True_Shooting_Percentage,Road_Effective_Field_Goal_Percentage,Road_t3_Point_Attempt_Rate,Road_Free_Throw_Attempt_Rate,Road_Offensive_Rebound_Percentage,Road_Defensive_Rebound_Percentage,Road_Total_Rebound_Percentage,Road_Assist_Percentage,Road_Steal_Percentage,Road_Block_Percentage,Road_Turnover_Percentage,Road_Usage_Percentage,Road_Offensive_Rating,Road_Defensive_Rating,Home_True_Shooting_Percentage,Home_Effective_Field_Goal_Percentage,Home_t3_Point_Attempt_Rate,Home_Free_Throw_Attempt_Rate,Home_Offensive_Rebound_Percentage,Home_Defensive_Rebound_Percentage,Home_Total_Rebound_Percentage,Home_Assist_Percentage,Home_Steal_Percentage,Home_Block_Percentage,Home_Turnover_Percentage,Home_Usage_Percentage,Home_Offensive_Rating,Home_Defensive_Rating,Road_Pace,Road_eFG%,Road_TOV%,Road_ORB%,Road_FT/FGA,Road_ORt,Home_Pace,Home_eFG%,Home_TOV%,Home_ORB%,Home_FT/FGA,Home_ORt
20,13,24,18,27,6,12,0,0,0,32,19,18,13,6,14,0,0,0,2,20091030,7:00 pm,NYK,100,CHA,102,2,2010,17400,38,98,0.3878,9,36,0.25,15,18,0.8333,10,40,50,20,5,7,17,28,100,17400,35,92,0.3804,3,18,0.1667,29,36,0.8056,12,43,55,18,8,6,15,19,102,0.47200000000000003,0.434,0.36700000000000005,0.184,18.9,76.9,47.6,52.6,4.6,9.5,13.8,100.0,92.0,93.8,0.473,0.397,0.196,0.391,23.1,81.1,52.4,51.4,7.4,9.7,12.2,100.0,93.8,92.0,90.0,0.434,13.8,18.9,0.153,92.0,90.0,0.397,12.2,23.1,0.315,93.8
21,16,22,24,29,0,0,0,0,0,24,21,16,22,0,0,0,0,0,0,20091030,8:00 pm,OKC,91,DET,83,0,2010,14400,33,76,0.4342,2,11,0.1818,23,30,0.7667,9,36,45,23,6,5,11,28,91,14400,26,70,0.3714,5,17,0.2941,26,34,0.7647,9,34,43,12,6,5,15,27,83,0.51,0.447,0.145,0.395,20.9,80.0,51.1,69.7,6.7,9.4,11.0,100.0,101.9,93.0,0.488,0.40700000000000003,0.243,0.486,20.0,79.1,48.9,46.2,6.7,7.7,15.0,100.0,93.0,101.9,89.3,0.447,11.0,20.9,0.303,101.9,89.3,0.40700000000000003,15.0,20.0,0.371,93.0
22,28,21,30,17,0,0,0,0,0,16,31,16,20,0,0,0,0,0,0,20091030,8:00 pm,MIA,96,IND,83,0,2010,14400,30,69,0.4348,1,7,0.1429,35,46,0.7609,13,32,45,16,7,3,15,23,96,14400,29,79,0.3671,4,23,0.1739,21,26,0.8077,12,27,39,16,4,9,14,31,83,0.5379999999999999,0.442,0.10099999999999999,0.667,32.5,72.7,53.6,53.3,7.9,5.4,14.4,100.0,108.1,93.4,0.45899999999999996,0.392,0.29100000000000004,0.32899999999999996,27.3,67.5,46.4,55.2,4.5,14.5,13.4,100.0,93.4,108.1,88.8,0.442,14.4,32.5,0.507,108.1,88.8,0.392,13.4,27.3,0.266,93.4
23,24,28,26,16,0,0,0,0,0,21,24,15,20,0,0,0,0,0,0,20091030,7:30 pm,DAL,94,LAL,80,0,2010,14400,32,77,0.4156,5,15,0.3333,25,32,0.7812,13,33,46,19,6,3,17,21,94,14400,32,81,0.3951,7,23,0.3043,9,14,0.6429,13,27,40,19,7,1,19,29,80,0.516,0.44799999999999995,0.195,0.41600000000000004,32.5,71.7,53.5,59.4,6.6,5.2,15.7,100.0,103.3,87.9,0.45899999999999996,0.43799999999999994,0.284,0.17300000000000001,28.3,67.5,46.5,59.4,7.7,1.6,17.9,100.0,87.9,103.3,91.0,0.44799999999999995,15.7,32.5,0.325,103.3,91.0,0.43799999999999994,17.9,28.3,0.111,87.9
24,22,27,30,28,0,0,0,0,0,23,30,23,39,0,0,0,0,0,0,20091030,7:00 pm,TOR,107,MEM,115,0,2010,14400,39,88,0.4432,7,22,0.3182,22,28,0.7857,15,21,36,20,7,5,14,29,107,14400,42,82,0.5122,3,9,0.3333,28,35,0.8,18,27,45,24,11,5,17,22,115,0.5329999999999999,0.483,0.25,0.318,35.7,53.8,44.4,51.3,7.5,6.8,12.2,100.0,114.0,122.5,0.59,0.53,0.11,0.42700000000000005,46.2,64.3,55.6,57.1,11.7,7.6,14.9,100.0,122.5,114.0,93.9,0.483,12.2,35.7,0.25,114.0,93.9,0.53,14.9,46.2,0.341,122.5
25,25,32,26,21,0,0,0,0,0,18,29,21,19,0,0,0,0,0,0,20091030,7:00 pm,CLE,104,MIN,87,0,2010,14400,40,84,0.4762,10,18,0.5556,14,20,0.7,10,33,43,24,11,5,11,21,104,14400,36,86,0.4186,3,14,0.2143,12,17,0.7059,15,32,47,18,6,3,17,15,87,0.56,0.536,0.214,0.23800000000000002,23.8,68.8,47.8,60.0,11.9,6.9,10.6,100.0,112.5,94.1,0.465,0.436,0.163,0.198,31.3,76.2,52.2,50.0,6.5,4.5,15.4,100.0,94.1,112.5,92.4,0.536,10.6,23.8,0.16699999999999998,112.5,92.4,0.436,15.4,31.3,0.14,94.1
26,29,21,25,20,0,0,0,0,0,24,20,18,23,0,0,0,0,0,0,20091030,8:00 pm,ORL,95,NJN,85,0,2010,14400,37,75,0.4933,6,21,0.2857,15,25,0.6,9,39,48,21,1,5,14,18,95,14400,31,81,0.3827,5,15,0.3333,18,25,0.72,7,32,39,16,8,5,6,20,85,0.552,0.5329999999999999,0.28,0.33299999999999996,22.0,84.8,55.2,56.8,1.1,7.6,14.0,100.0,106.2,95.0,0.462,0.414,0.185,0.309,15.2,78.0,44.8,51.6,8.9,9.3,6.1,100.0,95.0,106.2,89.5,0.5329999999999999,14.0,22.0,0.2,106.2,89.5,0.414,6.1,15.2,0.222,95.0
27,27,23,25,17,0,0,0,0,0,25,25,22,25,0,0,0,0,0,0,20091030,7:00 pm,SAC,92,NOH,97,0,2010,14400,36,96,0.375,7,24,0.2917,13,20,0.65,21,31,52,21,7,3,10,24,92,14400,33,73,0.4521,5,16,0.3125,26,32,0.8125,10,33,43,16,6,9,11,21,97,0.439,0.41100000000000003,0.25,0.20800000000000002,38.9,75.6,54.7,58.3,8.0,5.3,8.7,100.0,104.9,110.6,0.557,0.486,0.21899999999999997,0.43799999999999994,24.4,61.1,45.3,48.5,6.8,12.5,11.2,100.0,110.6,104.9,87.7,0.41100000000000003,8.7,38.9,0.135,104.9,87.7,0.486,11.2,24.4,0.35600000000000004,110.6
28,18,29,20,19,0,0,0,0,0,23,18,35,23,0,0,0,0,0,0,20091030,7:00 pm,MIL,86,PHI,99,0,2010,14400,34,85,0.4,7,23,0.3043,11,19,0.5789,12,32,44,17,7,2,20,27,86,14400,32,70,0.4571,6,18,0.3333,29,34,0.8529,6,39,45,18,12,7,19,22,99,0.461,0.441,0.271,0.22399999999999998,23.5,84.2,49.4,50.0,7.1,3.8,17.6,100.0,87.8,101.1,0.583,0.5,0.257,0.486,15.8,76.5,50.6,56.3,12.2,11.3,18.3,100.0,101.1,87.8,98.0,0.441,17.6,23.5,0.129,87.8,98.0,0.5,18.3,15.8,0.414,101.1
29,24,27,22,28,0,0,0,0,0,28,34,30,31,0,0,0,0,0,0,20091030,7:00 pm,GSW,101,PHO,123,0,2010,14400,36,85,0.4235,6,13,0.4615,23,28,0.8214,9,29,38,16,7,3,22,30,101,14400,45,84,0.5357,12,22,0.5455,21,34,0.6176,9,38,47,30,7,7,23,25,123,0.519,0.45899999999999996,0.153,0.32899999999999996,19.1,76.3,44.7,44.4,6.4,4.8,18.4,100.0,92.3,112.4,0.621,0.607,0.262,0.405,23.7,80.9,55.3,66.7,6.4,9.7,18.9,100.0,112.4,92.3,109.4,0.45899999999999996,18.4,19.1,0.271,92.3,109.4,0.607,18.9,23.7,0.25,112.4
